name,type,latitude_deg,longitude_deg,state
Hog River Airport,small_airport,66.2161026,-155.6690063,AK
Waimea Kohala Airport,medium_airport,20.00130081,-155.6679993,HI
Lucy Henriques Medical Center Heliport,heliport,19.86580086,-155.6470032,HI
McGrath Airport,medium_airport,62.95289993,-155.6060028,AK
Mc Grath Seaplane Base,seaplane_base,62.95800018,-155.5930023,AK
Kaalaiki Airstrip,small_airport,19.12280083,-155.5780029,HI
Sparrevohn LRRS Airport,medium_airport,61.09740067,-155.5740051,AK
Bradshaw Army Airfield,medium_airport,19.76009941,-155.5540009,HI
Pohakuloa Training Area,small_airport,19.72667535,-155.5245423,HI
Upper Paauau Airport,small_airport,19.22750092,-155.5090027,HI
Honokaa Airstrip,small_airport,20.08359909,-155.5019989,HI
Ruby Airport,medium_airport,64.72720337,-155.4700012,AK
Pahala Airstrip,small_airport,19.21619987,-155.4689941,HI
Lime Village Airport,small_airport,61.35910034,-155.4400024,AK
Upper Paauilo Airstrip,small_airport,20.02829933,-155.3880005,HI
Rainshed Heliport,heliport,19.43309975,-155.2599945,HI
Big Mountain Airport,small_airport,59.36119843,-155.2590027,AK
Peleau Airport,small_airport,19.9022007,-155.1660004,HI
Mauna Kea-Honolii Airport,small_airport,19.76390076,-155.1380005,HI
Kulik Lake Airport,small_airport,58.98210144,-155.1210022,AK
Hilo Medical Center Heliport,heliport,19.71846449,-155.1144218,HI
Pepeekeo Airstrip,small_airport,19.84469986,-155.1130066,HI
Mountain View Airstrip,small_airport,19.54750061,-155.1080017,HI
Hilo International Airport,medium_airport,19.72139931,-155.0480042,HI
Iliamna Airport,medium_airport,59.75439835,-154.9109955,AK
Nondalton Airport,small_airport,59.98020172,-154.8390045,AK
Kokhanok Airport,small_airport,59.43320084,-154.8040009,AK
Nixon Fork Mine Airport,small_airport,63.22919846,-154.7599945,AK
Cape Simpson,small_airport,71.05801824,-154.7364986,AK
Medfra Airport,small_airport,63.10601982,-154.719429,AK
Karluk Airport,small_airport,57.56710052,-154.4499969,AK
Puviaq Airport,small_airport,70.71559906,-154.4069977,AK
Nikolai Airport,small_airport,63.01860046,-154.3580017,AK
Wilder/Natwick LLC Airport,small_airport,60.19860077,-154.3249969,AK
Port Alsworth Airport,small_airport,60.20429993,-154.3190002,AK
Hughes Airport,small_airport,66.04109955,-154.2630005,AK
Alitak Seaplane Base,seaplane_base,56.8995018,-154.2480011,AK
Olga Bay Seaplane Base,seaplane_base,57.16149902,-154.2299957,AK
Akhiok Airport,small_airport,56.93870163,-154.1829987,AK
Moser Bay Seaplane Base,seaplane_base,57.02560043,-154.1459961,AK
Sitkinak Airport,closed,56.5378,-154.1412,AK
Pedro Bay Airport,small_airport,59.78960037,-154.1239929,AK
Karluk Lake Seaplane Base,seaplane_base,57.36700058,-154.0279999,AK
Larsen Bay Airport,small_airport,57.53509903,-153.9779968,AK
